DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180906 150604887,1.16248,1.1625299999999998,0
20180906 075410693,1.16364,1.16367,0
20180919 055910303,1.1699700000000002,1.17001,0
20180924 125039670,1.17661,1.1766299999999998,0
20180924 035457257,1.17381,1.17385,0
20180905 143311587,1.16266,1.16269,0
20180924 231420837,1.17367,1.17372,0
20180903 151002727,1.16167,1.16175,0
20180928 090903473,1.15903,1.15907,0
20180921 031623477,1.17879,1.1788399999999999,0
20180913 095943170,1.1692200000000001,1.16925,0
20180914 005125297,1.1693799999999999,1.1694,0
20180910 161449067,1.1596,1.1596600000000001,0
20180917 222535017,1.16788,1.1679,0
20180903 122538247,1.16175,1.1618,0
20180912 070641163,1.15828,1.15831,0
20180907 083009987,1.15975,1.15984,0
20180924 073527210,1.1765700000000001,1.1766299999999998,0
20180926 133432543,1.1759700000000002,1.17601,0
20180910 081105897,1.15725,1.1572799999999999,0
20180918 064506727,1.16794,1.1679700000000002,0
20180902 231302610,1.1598899999999999,1.15993,0
20180920 041502393,1.17051,1.17055,0
20180928 080151980,1.15804,1.15808,0
20180921 121245687,1.17394,1.174,0
20180926 191503753,1.17496,1.175,0
20180919 141248250,1.16743,1.16747,0
20180917 102252617,1.16923,1.16925,0
20180917 021409407,1.16314,1.16317,0
20180927 054013427,1.17139,1.1714200000000001,0
20180924 221454097,1.1735799999999998,1.17362,0
20180927 002600217,1.1752,1.17523,0
20180923 193431803,1.17472,1.17478,0
20180920 113103087,1.17478,1.17482,0
20180928 074006233,1.1582,1.15824,0
20180906 200557090,1.16211,1.16218,0
20180904 091757327,1.15497,1.15501,0
20180905 080501637,1.15795,1.158,0
20180927 034211443,1.16987,1.1698899999999999,0
20180913 084503933,1.16736,1.16739,0
20180927 041808437,1.17145,1.1714799999999999,0
20180927 072021167,1.17129,1.1713200000000001,0
20180918 033514480,1.16876,1.16879,0
20180913 073329447,1.1627,1.16272,0
20180927 010401963,1.17487,1.17493,0
20180927 115402130,1.1672,1.16724,0
20180924 092913447,1.18082,1.18087,0
20180914 085851000,1.1674200000000001,1.1674799999999999,0
20180927 020830203,1.17006,1.17009,0
20180928 095414217,1.15782,1.1578600000000001,0
20180919 221617940,1.16813,1.16816,0
20180904 015109137,1.16077,1.1608,0
20180911 105727873,1.15842,1.15846,0
20180905 014235940,1.15923,1.15927,0
20180906 111604683,1.16087,1.16093,0
20180926 033454617,1.1768,1.1768399999999999,0
