AreaCode,Area,Year,Series,Value
1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.3
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",9.6
419,Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.3
62,South-central Asia,2015,"Intentional homicide rates per 100,000",3.7
53,Australia and New Zealand,2015,"Intentional homicide rates per 100,000",1
543,Oceania,2015,"Intentional homicide rates per 100,000",8.8
4,Afghanistan,2010,"Intentional homicide rates per 100,000",3.4
4,Afghanistan,2012,"Intentional homicide rates per 100,000",6.3
4,Afghanistan,2012,"Percentage of male and female intentional homicide victims, Male",11.8
4,Afghanistan,2012,"Percentage of male and female intentional homicide victims, Female",0.6
8,Albania,2005,"Intentional homicide rates per 100,000",5
8,Albania,2005,"Percentage of male and female intentional homicide victims, Male",8.6
8,Albania,2005,"Percentage of male and female intentional homicide victims, Female",1.4
8,Albania,2005,"Assault rate per 100,000 population",5.4
8,Albania,2005,"Theft at the national level, rate per 100,000 population",96.9
8,Albania,2005,"Robbery at the national level, rate per 100,000 population",6.5
8,Albania,2005,"Total Sexual Violence at the national level, rate per 100,000",2.9
8,Albania,2010,"Intentional homicide rates per 100,000",4.3
8,Albania,2010,"Percentage of male and female intentional homicide victims, Male",7.3
8,Albania,2010,"Percentage of male and female intentional homicide victims, Female",1.3
8,Albania,2010,"Assault rate per 100,000 population",6.1
8,Albania,2010,"Kidnapping at the national level, rate per 100,000",0.3
8,Albania,2010,"Theft at the national level, rate per 100,000 population",137.1
8,Albania,2010,"Robbery at the national level, rate per 100,000 population",8.1
8,Albania,2010,"Total Sexual Violence at the national level, rate per 100,000",2.7
8,Albania,2015,"Intentional homicide rates per 100,000",2.3
8,Albania,2015,"Percentage of male and female intentional homicide victims, Male",3.5
8,Albania,2015,"Percentage of male and female intentional homicide victims, Female",1
8,Albania,2015,"Assault rate per 100,000 population",5.8
8,Albania,2015,"Kidnapping at the national level, rate per 100,000",0.3
8,Albania,2015,"Theft at the national level, rate per 100,000 population",248.1
8,Albania,2015,"Robbery at the national level, rate per 100,000 population",8.1
8,Albania,2015,"Total Sexual Violence at the national level, rate per 100,000",5.1
12,Algeria,2005,"Intentional homicide rates per 100,000",0.6
12,Algeria,2005,"Assault rate per 100,000 population",99
12,Algeria,2005,"Kidnapping at the national level, rate per 100,000",0.3
12,Algeria,2005,"Robbery at the national level, rate per 100,000 population",75.6
12,Algeria,2010,"Intentional homicide rates per 100,000",0.7
12,Algeria,2010,"Assault rate per 100,000 population",114.8
12,Algeria,2010,"Kidnapping at the national level, rate per 100,000",0.5
12,Algeria,2010,"Theft at the national level, rate per 100,000 population",141.7
12,Algeria,2010,"Robbery at the national level, rate per 100,000 population",51.3
12,Algeria,2010,"Total Sexual Violence at the national level, rate per 100,000",10.5
12,Algeria,2015,"Intentional homicide rates per 100,000",1.4
12,Algeria,2015,"Percentage of male and female intentional homicide victims, Male",2.3
12,Algeria,2015,"Percentage of male and female intentional homicide victims, Female",0.4
12,Algeria,2015,"Assault rate per 100,000 population",123.8
12,Algeria,2015,"Kidnapping at the national level, rate per 100,000",1.3
12,Algeria,2015,"Theft at the national level, rate per 100,000 population",125
12,Algeria,2015,"Robbery at the national level, rate per 100,000 population",65.6
12,Algeria,2015,"Total Sexual Violence at the national level, rate per 100,000",8.5
16,American Samoa,2005,"Intentional homicide rates per 100,000",10.1
16,American Samoa,2010,"Intentional homicide rates per 100,000",9
16,American Samoa,2015,"Intentional homicide rates per 100,000",7.2
20,Andorra,2004,"Intentional homicide rates per 100,000",1.3
20,Andorra,2008,"Intentional homicide rates per 100,000",1.2
20,Andorra,2008,"Percentage of male and female intentional homicide victims, Male",0
20,Andorra,2008,"Percentage of male and female intentional homicide victims, Female",2.4
20,Andorra,2008,"Assault rate per 100,000 population",122.6
20,Andorra,2008,"Theft at the national level, rate per 100,000 population","1,141.10"
20,Andorra,2008,"Robbery at the national level, rate per 100,000 population",4.7
20,Andorra,2008,"Total Sexual Violence at the national level, rate per 100,000",17.5
20,Andorra,2010,"Percentage of male and female intentional homicide victims, Male",0
20,Andorra,2010,"Percentage of male and female intentional homicide victims, Female",0
20,Andorra,2010,"Assault rate per 100,000 population",116.1
20,Andorra,2010,"Theft at the national level, rate per 100,000 population","1,323.20"
20,Andorra,2010,"Robbery at the national level, rate per 100,000 population",9.5
20,Andorra,2010,"Total Sexual Violence at the national level, rate per 100,000",11.9
20,Andorra,2011,"Intentional homicide rates per 100,000",1.2
20,Andorra,2011,"Percentage of male and female intentional homicide victims, Male",2.3
20,Andorra,2011,"Percentage of male and female intentional homicide victims, Female",0
20,Andorra,2011,"Assault rate per 100,000 population",174.9
20,Andorra,2011,"Theft at the national level, rate per 100,000 population","1,291.20"
20,Andorra,2011,"Robbery at the national level, rate per 100,000 population",6.1
20,Andorra,2011,"Total Sexual Violence at the national level, rate per 100,000",20.7
20,Andorra,2014,"Percentage of male and female intentional homicide victims, Male",0
20,Andorra,2014,"Percentage of male and female intentional homicide victims, Female",0
20,Andorra,2014,"Assault rate per 100,000 population",169
20,Andorra,2014,"Kidnapping at the national level, rate per 100,000",1.4
20,Andorra,2014,"Theft at the national level, rate per 100,000 population","1,286.00"
20,Andorra,2014,"Robbery at the national level, rate per 100,000 population",9.6
20,Andorra,2014,"Total Sexual Violence at the national level, rate per 100,000",22
20,Andorra,2015,"Percentage of male and female intentional homicide victims, Male",0
20,Andorra,2015,"Percentage of male and female intentional homicide victims, Female",0
20,Andorra,2015,"Assault rate per 100,000 population",188.7
20,Andorra,2015,"Theft at the national level, rate per 100,000 population","1,484.30"
20,Andorra,2015,"Robbery at the national level, rate per 100,000 population",11.4
20,Andorra,2015,"Total Sexual Violence at the national level, rate per 100,000",15.6
24,Angola,2012,"Intentional homicide rates per 100,000",4.8
24,Angola,2012,"Percentage of male and female intentional homicide victims, Male",7.8
24,Angola,2012,"Percentage of male and female intentional homicide victims, Female",2.1
660,Anguilla,2004,"Intentional homicide rates per 100,000",8.1
660,Anguilla,2009,"Intentional homicide rates per 100,000",7.4
660,Anguilla,2014,"Intentional homicide rates per 100,000",27.7
28,Antigua and Barbuda,2002,"Intentional homicide rates per 100,000",5.8
28,Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Male",9.2
28,Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Female",2.8
28,Antigua and Barbuda,2005,"Intentional homicide rates per 100,000",3.4
28,Antigua and Barbuda,2008,"Intentional homicide rates per 100,000",17.3
28,Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Male",24.8
28,Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Female",10.4
28,Antigua and Barbuda,2010,"Intentional homicide rates per 100,000",6.3
28,Antigua and Barbuda,2012,"Intentional homicide rates per 100,000",10.3
32,Argentina,2005,"Assault rate per 100,000 population",363
32,Argentina,2005,"Theft at the national level, rate per 100,000 population",775.7
32,Argentina,2005,"Robbery at the national level, rate per 100,000 population",907.7
32,Argentina,2008,"Assault rate per 100,000 population",359.7
32,Argentina,2008,"Theft at the national level, rate per 100,000 population",703.8
32,Argentina,2008,"Robbery at the national level, rate per 100,000 population",957.9
32,Argentina,2008,"Total Sexual Violence at the national level, rate per 100,000",26.3
32,Argentina,2015,"Intentional homicide rates per 100,000",6.5
32,Argentina,2015,"Percentage of male and female intentional homicide victims, Male",11.5
32,Argentina,2015,"Percentage of male and female intentional homicide victims, Female",1.7
32,Argentina,2015,"Assault rate per 100,000 population",417.6
32,Argentina,2015,"Theft at the national level, rate per 100,000 population",626.3
32,Argentina,2015,"Robbery at the national level, rate per 100,000 population","1,020.40"
32,Argentina,2015,"Total Sexual Violence at the national level, rate per 100,000",37.1
51,Armenia,2005,"Intentional homicide rates per 100,000",1.9
51,Armenia,2005,"Percentage of male and female intentional homicide victims, Male",3.4
