SepalLength,SepalWidth,PentalLength,PentalWidth,Species
5900,3000,4200,1500,1
6900,3100,5400,2100,2
5100,3300,1700,500,0
6000,3400,4500,1600,1
5500,2500,4000,1300,1
6200,2900,4300,1300,1
5500,4200,1400,200,0
6300,2800,5100,1500,2
5600,3000,4100,1300,1
6700,2500,5800,1800,2
7100,3000,5900,2100,2
4300,3000,1100,100,0
5600,2800,4900,2000,2
5500,2300,4000,1300,1
6000,2200,4000,1000,1
5100,3500,1400,200,0
5700,2600,3500,1000,1
4800,3400,1900,200,0
5100,3400,1500,200,0
5700,2500,5000,2000,2
5400,3400,1700,200,0
5600,3000,4500,1500,1
6300,2900,5600,1800,2
6300,2500,4900,1500,1
5800,2700,3900,1200,1
6100,3000,4600,1400,1
5200,4100,1500,100,0
6700,3100,4700,1500,1
6700,3300,5700,2500,2
6400,2900,4300,1300,1
