DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180918 015704990,1.17016,1.17021,0
20180905 022226687,1.1577600000000001,1.1578,0
20180926 203055743,1.17555,1.17559,0
20180919 045713810,1.17019,1.1702299999999999,0
20180925 101525497,1.1789100000000001,1.17895,0
20180920 021558157,1.16806,1.1681,0
20180903 023448330,1.1606299999999998,1.16068,0
20180920 114221087,1.17458,1.17462,0
20180917 070256623,1.16608,1.16611,0
20180917 091308110,1.16854,1.16857,0
20180927 021605203,1.17065,1.17066,0
20180926 211945487,1.1752,1.1752200000000002,0
20180912 213015790,1.16405,1.1641,0
20180909 232512737,1.1548200000000002,1.15485,0
20180921 032132493,1.17849,1.17851,0
20180905 204137283,1.1647299999999998,1.16476,0
20180904 083805333,1.15646,1.1565,0
20180926 163217523,1.1741,1.17415,0
20180924 065329217,1.17659,1.17662,0
20180911 043347440,1.16289,1.1629200000000002,0
20180924 180218127,1.1748399999999999,1.1749,0
20180910 091633387,1.16039,1.16044,0
20180920 032330917,1.16933,1.1693799999999999,0
20180904 082711333,1.15629,1.15631,0
20180918 092831943,1.1708399999999999,1.17088,0
20180917 065752377,1.16639,1.16645,0
20180909 201702517,1.15572,1.15577,0
20180917 081559617,1.16707,1.16711,0
20180904 031609627,1.15802,1.15805,0
20180917 171608550,1.16848,1.16864,0
20180923 205733293,1.17466,1.1747,0
20180912 064248667,1.15907,1.1591200000000002,0
20180928 063327257,1.15895,1.15899,0
20180917 161458307,1.1685299999999998,1.16856,0
20180904 011506893,1.1604,1.16044,0
20180924 034217240,1.17404,1.17408,0
20180910 111141620,1.16038,1.1604299999999999,0
20180925 112459240,1.17682,1.17686,0
20180925 110120743,1.17828,1.17832,0
20180926 030002137,1.1760899999999999,1.17613,0
20180907 072847497,1.1603,1.1603700000000001,0
20180910 110319870,1.16065,1.16068,0
20180921 033519727,1.17842,1.17846,0
20180921 031002493,1.1798899999999999,1.17995,0
20180904 085223580,1.1566,1.15662,0
20180914 081030743,1.16901,1.1690399999999999,0
20180905 085247130,1.1590200000000002,1.15906,0
20180924 044630483,1.17634,1.17636,0
20180905 081509637,1.15811,1.1581700000000001,0
20180904 022807633,1.1592,1.15924,0
20180910 090408907,1.16068,1.1607299999999998,0
20180926 102636067,1.17366,1.17369,0
20180919 110250520,1.1671200000000002,1.16715,0
20180912 214412540,1.16351,1.16356,0
20180920 041549143,1.17057,1.1706,0
20180906 060403707,1.16231,1.16234,0
20180928 081711727,1.15734,1.15737,0
20180928 113406953,1.16173,1.16177,0
20180920 082854110,1.17763,1.17767,0
20180918 112338933,1.16859,1.1686299999999998,0
20180926 073412337,1.17436,1.17439,0
20180928 141524433,1.161,1.16104,0
20180913 130717897,1.16798,1.16802,0
20180913 103355667,1.1683700000000001,1.16842,0
20180913 100300420,1.16907,1.16911,0
20180919 175834473,1.1671799999999999,1.16746,0
20180914 124303457,1.16323,1.16327,0
20180907 052212250,1.1646299999999998,1.16468,0
20180903 110329510,1.1622299999999999,1.16226,0
20180910 104816623,1.1606299999999998,1.16068,0
20180911 060025673,1.15962,1.15965,0
20180924 044644483,1.17626,1.17629,0
20180917 013625913,1.16329,1.16335,0
20180928 053454497,1.1597899999999999,1.15983,0
20180919 090109783,1.16733,1.16737,0
20180904 013541640,1.16095,1.16098,0
20180927 090444403,1.16751,1.16754,0
20180921 031615727,1.17879,1.1788299999999998,0
20180924 093500210,1.1805,1.1805299999999999,0
20180926 234702220,1.17497,1.1750200000000002,0
